Signal Type,Symbol,Frequency,Huffman Code,Code Length
Sawtooth Wave,104,80,11011011,8
Sawtooth Wave,105,80,0110101,7
Sawtooth Wave,106,80,11001010,8
Sawtooth Wave,107,80,0100011,7
Sawtooth Wave,108,80,10111000,8
Sawtooth Wave,109,80,0010001,7
Sawtooth Wave,110,80,10100110,8
Sawtooth Wave,111,80,0000000,7
Sawtooth Wave,112,80,10010101,8
Sawtooth Wave,113,80,11101110,8
Sawtooth Wave,114,80,10000011,8
Sawtooth Wave,115,80,11011100,8
Sawtooth Wave,116,80,0110110,7
Sawtooth Wave,117,80,11001011,8
Sawtooth Wave,118,80,0100100,7
Sawtooth Wave,119,80,10111001,8
Sawtooth Wave,120,80,0010010,7
Sawtooth Wave,121,80,10100111,8
Sawtooth Wave,122,80,0000001,7
Sawtooth Wave,123,80,10010110,8
Sawtooth Wave,124,80,11101111,8
Sawtooth Wave,125,80,10000100,8
Sawtooth Wave,126,80,11011101,8
Sawtooth Wave,127,1,011011101101,12
Sawtooth Wave,128,79,01110010,8
Sawtooth Wave,129,80,11001100,8
Sawtooth Wave,130,80,0100101,7
Sawtooth Wave,131,80,10111010,8
Sawtooth Wave,132,80,0010011,7
Sawtooth Wave,133,80,10101000,8
Sawtooth Wave,134,80,0000010,7
Sawtooth Wave,135,80,10010111,8
Sawtooth Wave,136,80,11110000,8
Sawtooth Wave,137,80,10000101,8
Sawtooth Wave,138,80,11011110,8
Sawtooth Wave,139,80,01110011,8
Sawtooth Wave,140,80,11001101,8
Sawtooth Wave,141,80,0100110,7
Sawtooth Wave,142,80,10111011,8
Sawtooth Wave,143,80,0010100,7
Sawtooth Wave,144,80,10101001,8
Sawtooth Wave,145,80,0000011,7
Sawtooth Wave,146,80,10011000,8
Sawtooth Wave,147,80,11110001,8
Sawtooth Wave,148,80,10000110,8
Sawtooth Wave,149,80,11011111,8
Sawtooth Wave,150,80,01110100,8
Sawtooth Wave,151,80,11001110,8
Sawtooth Wave,152,80,0100111,7
Sawtooth Wave,153,80,10111100,8
Sawtooth Wave,154,80,0010101,7
Sawtooth Wave,155,80,10101010,8
Sawtooth Wave,156,80,0000100,7
Sawtooth Wave,157,80,10011001,8
Sawtooth Wave,158,80,11110010,8
Sawtooth Wave,159,80,10000111,8
Sawtooth Wave,160,80,11100000,8
Sawtooth Wave,161,80,01110101,8
Sawtooth Wave,162,80,11001111,8
Sawtooth Wave,163,80,0101000,7
Sawtooth Wave,164,80,10111101,8
Sawtooth Wave,165,80,0010110,7
Sawtooth Wave,166,80,10101011,8
Sawtooth Wave,167,80,0000101,7
Sawtooth Wave,168,80,10011010,8
Sawtooth Wave,169,80,11110011,8
Sawtooth Wave,170,80,10001000,8
Sawtooth Wave,171,80,11100001,8
Sawtooth Wave,172,80,01110110,8
Sawtooth Wave,173,80,11010000,8
Sawtooth Wave,174,80,0101001,7
Sawtooth Wave,175,80,10111110,8
Sawtooth Wave,176,80,0010111,7
Sawtooth Wave,177,80,10101100,8
Sawtooth Wave,178,60,01101111,8
Sawtooth Wave,179,20,011011100,9
Sawtooth Wave,180,80,10011011,8
Sawtooth Wave,181,80,11110100,8
Sawtooth Wave,182,80,10001001,8
Sawtooth Wave,183,80,11100010,8
Sawtooth Wave,184,80,01110111,8
Sawtooth Wave,185,80,11010001,8
Sawtooth Wave,186,80,0101010,7
Sawtooth Wave,187,80,10111111,8
Sawtooth Wave,188,80,0011000,7
Sawtooth Wave,189,80,10101101,8
Sawtooth Wave,190,80,0000110,7
Sawtooth Wave,191,80,10011100,8
Sawtooth Wave,192,80,11110101,8
Sawtooth Wave,193,80,10001010,8
Sawtooth Wave,194,80,11100011,8
Sawtooth Wave,195,80,01111000,8
Sawtooth Wave,196,80,11010010,8
Sawtooth Wave,197,80,0101011,7
Sawtooth Wave,198,80,11000000,8
Sawtooth Wave,199,80,0011001,7
Sawtooth Wave,200,80,10101110,8
Sawtooth Wave,201,80,0000111,7
Sawtooth Wave,202,80,10011101,8
Sawtooth Wave,203,80,11110110,8
Sawtooth Wave,204,80,10001011,8
Sawtooth Wave,205,80,11100100,8
Sawtooth Wave,206,80,01111001,8
Sawtooth Wave,207,80,11010011,8
Sawtooth Wave,208,80,0101100,7
Sawtooth Wave,209,80,11000001,8
Sawtooth Wave,210,80,0011010,7
Sawtooth Wave,211,80,10101111,8
Sawtooth Wave,212,80,0001000,7
Sawtooth Wave,213,80,10011110,8
Sawtooth Wave,214,80,11110111,8
Sawtooth Wave,215,80,10001100,8
Sawtooth Wave,216,80,11100101,8
Sawtooth Wave,217,80,01111010,8
Sawtooth Wave,218,80,11010100,8
Sawtooth Wave,219,80,0101101,7
Sawtooth Wave,220,80,11000010,8
Sawtooth Wave,221,80,0011011,7
Sawtooth Wave,222,80,10110000,8
Sawtooth Wave,223,80,0001001,7
Sawtooth Wave,224,80,10011111,8
Sawtooth Wave,225,80,11111000,8
Sawtooth Wave,226,80,10001101,8
Sawtooth Wave,227,80,11100110,8
Sawtooth Wave,228,80,01111011,8
Sawtooth Wave,229,1,011011101100,12
White Noise,26,93,0101001,7
White Noise,27,70,10001101,8
White Noise,28,72,10010111,8
White Noise,29,68,01111101,8
White Noise,30,79,11011000,8
White Noise,31,74,10100111,8
White Noise,32,73,10011101,8
White Noise,33,89,0011100,7
White Noise,34,69,10000010,8
White Noise,35,83,11111110,8
White Noise,36,86,0001110,7
White Noise,37,88,0010110,7
White Noise,38,80,11101000,8
White Noise,39,72,10010110,8
White Noise,40,68,10000001,8
White Noise,41,72,10011010,8
White Noise,42,59,01101000,8
White Noise,43,71,10010011,8
White Noise,44,69,10000101,8
White Noise,45,92,0100001,7
White Noise,46,74,10101000,8
White Noise,47,89,0011011,7
White Noise,48,88,0010111,7
White Noise,49,69,10000100,8
White Noise,50,76,11000000,8
White Noise,51,92,0100011,7
White Noise,52,77,11000011,8
White Noise,53,74,10101001,8
White Noise,54,80,11011110,8
White Noise,55,83,11111010,8
White Noise,56,74,10101011,8
White Noise,57,103,0110010,7
White Noise,58,78,11010000,8
White Noise,59,83,11111101,8
White Noise,60,78,11001111,8
White Noise,61,100,0110001,7
White Noise,62,83,11111001,8
White Noise,63,72,10011000,8
White Noise,64,75,10101110,8
White Noise,65,81,11101100,8
White Noise,66,80,11011111,8
White Noise,67,87,0010001,7
White Noise,68,75,10111001,8
White Noise,69,79,11010111,8
White Noise,70,75,10110111,8
White Noise,71,97,0101111,7
White Noise,72,75,10101101,8
White Noise,73,68,01111011,8
White Noise,74,77,11001010,8
White Noise,75,96,0101100,7
White Noise,76,89,0011101,7
White Noise,77,64,01101101,8
White Noise,78,77,11001000,8
White Noise,79,80,11100011,8
White Noise,80,78,11010001,8
White Noise,81,85,0001010,7
White Noise,82,83,0000010,7
White Noise,83,76,10111110,8
White Noise,84,76,10111100,8
White Noise,85,65,01101110,8
White Noise,86,75,10110110,8
White Noise,87,90,0011111,7
White Noise,88,74,10100011,8
White Noise,89,70,10001100,8
White Noise,90,80,11100010,8
White Noise,91,97,0101110,7
White Noise,92,92,0100010,7
White Noise,93,69,10000111,8
White Noise,94,69,10001000,8
White Noise,95,83,0000011,7
White Noise,96,84,0000110,7
White Noise,97,78,11010101,8
