Signal Type,Symbol,Frequency,Huffman Code,Code Length
Sawtooth Wave,96,80,11101100,8
Sawtooth Wave,97,80,10000011,8
Sawtooth Wave,98,80,11011011,8
Sawtooth Wave,99,80,0110100,7
Sawtooth Wave,101,80,11001010,8
Sawtooth Wave,102,80,0100010,7
Sawtooth Wave,103,80,10111001,8
Sawtooth Wave,105,80,0010000,7
Sawtooth Wave,106,80,10100111,8
Sawtooth Wave,107,80,11111111,8
Sawtooth Wave,108,80,10010110,8
Sawtooth Wave,110,80,11101101,8
Sawtooth Wave,111,80,10000100,8
Sawtooth Wave,112,80,11011100,8
Sawtooth Wave,113,80,0110101,7
Sawtooth Wave,115,80,11001011,8
Sawtooth Wave,116,80,0100011,7
Sawtooth Wave,117,80,10111010,8
Sawtooth Wave,119,80,0010001,7
Sawtooth Wave,120,80,10101000,8
Sawtooth Wave,121,80,0000000,7
Sawtooth Wave,122,80,10010111,8
Sawtooth Wave,124,80,11101110,8
Sawtooth Wave,125,80,10000101,8
Sawtooth Wave,126,80,11011101,8
Sawtooth Wave,127,1,01101101001,11
Sawtooth Wave,128,79,01110010,8
Sawtooth Wave,129,80,11001100,8
Sawtooth Wave,130,80,0100100,7
Sawtooth Wave,131,80,10111011,8
Sawtooth Wave,133,80,0010010,7
Sawtooth Wave,134,80,10101001,8
Sawtooth Wave,135,80,0000001,7
Sawtooth Wave,136,80,10011000,8
Sawtooth Wave,138,80,11101111,8
Sawtooth Wave,139,80,10000110,8
Sawtooth Wave,140,80,11011110,8
Sawtooth Wave,142,80,01110100,8
Sawtooth Wave,143,80,11001101,8
Sawtooth Wave,144,80,0100101,7
Sawtooth Wave,145,80,10111100,8
Sawtooth Wave,147,80,0010011,7
Sawtooth Wave,148,80,10101010,8
Sawtooth Wave,149,80,0000010,7
Sawtooth Wave,150,80,10011001,8
Sawtooth Wave,152,80,11110000,8
Sawtooth Wave,153,80,10000111,8
Sawtooth Wave,154,80,11011111,8
Sawtooth Wave,156,80,01110101,8
Sawtooth Wave,157,80,11001110,8
Sawtooth Wave,158,80,0100110,7
Sawtooth Wave,159,80,10111101,8
Sawtooth Wave,161,80,0010100,7
Sawtooth Wave,162,80,10101011,8
Sawtooth Wave,163,80,0000011,7
Sawtooth Wave,164,80,10011010,8
Sawtooth Wave,166,80,11110001,8
Sawtooth Wave,167,80,10001000,8
Sawtooth Wave,168,80,11100000,8
Sawtooth Wave,170,80,01110110,8
Sawtooth Wave,171,80,11001111,8
Sawtooth Wave,172,80,0100111,7
Sawtooth Wave,173,80,10111110,8
Sawtooth Wave,175,80,0010101,7
Sawtooth Wave,176,80,10101100,8
Sawtooth Wave,177,80,0000100,7
Sawtooth Wave,178,32,011100010,9
Sawtooth Wave,179,48,01101110,8
Sawtooth Wave,180,80,11110010,8
Sawtooth Wave,181,80,10001001,8
Sawtooth Wave,182,80,11100001,8
Sawtooth Wave,184,80,01110111,8
Sawtooth Wave,185,80,11010000,8
Sawtooth Wave,186,80,0101000,7
Sawtooth Wave,187,80,10111111,8
Sawtooth Wave,189,80,0010110,7
Sawtooth Wave,190,80,10101101,8
Sawtooth Wave,191,80,0000101,7
Sawtooth Wave,193,80,10011011,8
Sawtooth Wave,194,80,11110011,8
Sawtooth Wave,195,80,10001010,8
Sawtooth Wave,196,80,11100010,8
Sawtooth Wave,198,80,01111000,8
Sawtooth Wave,199,80,11010001,8
Sawtooth Wave,200,80,0101001,7
Sawtooth Wave,201,80,11000000,8
Sawtooth Wave,203,80,0010111,7
Sawtooth Wave,204,80,10101110,8
Sawtooth Wave,205,80,0000110,7
Sawtooth Wave,207,80,10011100,8
Sawtooth Wave,208,80,11110100,8
Sawtooth Wave,209,80,10001011,8
Sawtooth Wave,210,80,11100011,8
Sawtooth Wave,212,80,01111001,8
Sawtooth Wave,213,80,11010010,8
Sawtooth Wave,214,80,0101010,7
Sawtooth Wave,215,80,11000001,8
Sawtooth Wave,217,80,0011000,7
Sawtooth Wave,218,80,10101111,8
Sawtooth Wave,219,80,0000111,7
Sawtooth Wave,221,80,10011101,8
Sawtooth Wave,222,80,11110101,8
Sawtooth Wave,223,80,10001100,8
Sawtooth Wave,224,80,11100100,8
Sawtooth Wave,226,80,01111010,8
Sawtooth Wave,227,80,11010011,8
Sawtooth Wave,228,80,0101011,7
Sawtooth Wave,229,41,01101100,8
Sawtooth Wave,230,39,011100011,9
Sawtooth Wave,231,80,0011001,7
Sawtooth Wave,232,80,10110000,8
Sawtooth Wave,233,80,0001000,7
Sawtooth Wave,235,80,10011110,8
Sawtooth Wave,236,80,11110110,8
Sawtooth Wave,237,80,10001101,8
